epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01189,1.07177,2.53125,2.60193,1.25902,0,0.55987,0.64879,0.59824,0.43496,0.49516,0.57731,0.46269,0.22807,0.8353,5.79578,1.78213,0.90351,0,0.000631579,0.000631579,0.000631579
2,11.7064,0.77094,1.30637,1.27675,0.95965,0,0.63345,0.71658,0.68622,0.52926,0.63361,0.71888,0.68061,0.45159,0.77593,3.14742,1.4244,0.92308,0,0.00127254,0.00127254,0.00127254
3,16.3585,0.79892,1.25578,1.19359,0.96058,0,0.71033,0.74297,0.74035,0.54104,0.70088,0.75988,0.74553,0.57903,0.87582,1.89852,1.39672,0.97898,0,0.0018871,0.0018871,0.0018871
4,20.9976,0.7558,1.1632,1.13079,0.95211,0,0.75083,0.76545,0.77714,0.62329,0.74886,0.76344,0.77161,0.56604,0.71305,1.80934,1.2856,0.94999,0,0.0018812,0.0018812,0.0018812
5,25.5755,0.68879,1.10646,1.02879,0.94305,0,0.5767,0.68474,0.59228,0.42763,0.54101,0.62851,0.52225,0.3227,0.73433,2.94315,1.42082,0.94439,0,0.0018416,0.0018416,0.0018416
6,30.1347,0.67939,1.07972,0.97249,0.93455,0,0.78697,0.7761,0.81112,0.68125,0.78495,0.77309,0.80778,0.6658,0.6803,1.53519,1.14637,0.95506,0,0.001802,0.001802,0.001802
7,35.0444,0.6618,1.05324,0.93048,0.93032,0,0.7469,0.71997,0.75112,0.6144,0.74738,0.7218,0.75196,0.61389,0.66958,1.41021,1.26715,0.93624,0,0.0017624,0.0017624,0.0017624
8,39.557,0.67357,1.00896,0.90593,0.93899,0,0.77518,0.75703,0.79312,0.65658,0.77621,0.75803,0.79373,0.65563,0.66547,1.27638,1.0617,0.927,0,0.0017228,0.0017228,0.0017228
9,44.113,0.68467,1.02451,0.89503,0.93596,0,0.80286,0.83002,0.83106,0.69753,0.78537,0.85141,0.83226,0.70984,0.64297,1.10336,1.02333,0.92559,0,0.0016832,0.0016832,0.0016832
10,49.143,0.64057,0.96982,0.86,0.92568,0,0.76675,0.79217,0.79572,0.68106,0.76675,0.79217,0.79553,0.67806,0.58093,1.10786,0.99044,0.91231,0,0.0016436,0.0016436,0.0016436
